GeneID	GSM4318505	GSM4318506	GSM4318507	GSM4318508	GSM4318509	GSM4318510
100287102	0.3439	0.4782	0.2596	0.3242	0.2373	0.1802
653635	24.51	31.56	19.88	21.08	19.76	20.36
102466751	19.49	32.92	9.459	13.78	20.17	7.005
107985730	0.352	0.3671	0.3985	0.2489	0.3643	0.332
100302278	0.9148	0.9542	0.3884	0.4851	0	0.4315
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	1.07	1.359	0.9638	0.9438	1.188	0.9976
729737	3.609	4.402	2.605	3.241	3.222	2.926
102725121	0.3535	0.4507	0.1668	0.2916	0.2439	0.1853
102723897	25.59	32.53	20.76	21.9	20.37	20.22
102465909	10.21	14.52	5.518	6.891	7.685	4.378
107985721	0.1633	0.2676	0.1783	0.1732	0.1448	0.11
112268260	0.3542	0.2896	0.3333	0.3858	0.2675	0.3612
729759	0.06722	0.07012	0.1713	0.1426	0.1391	0.06341
100132287	8.536	10.43	6.317	7.767	8.087	7.071
105378947	0.1886	0.1967	0.183	0.1714	0.1115	0.1525
101928626	0	0	0.06717	0	0.08186	0
113219467	3162	2552	3808	3253	3268	3256
81399	0.1966	0.2164	0.1855	0.2085	0.3165	0.1648
100133331	11.46	12.82	7.677	9.4	10.3	8.528
107984841	10.91	14.36	6.946	9.109	11.01	7.202
107984847	37.09	41.13	17.57	28.99	30.31	23.08
107984849	16.23	18.58	4.786	13.15	11.67	8.719
100288069	12.48	14.02	6.529	9.18	11.86	7.904
105378580	1.13	1.23	0.9702	0.7948	1.043	0.8228
400728	1.364	1.422	0.7721	0.6887	1.176	0.7045
79854	2.588	8.698	2.361	2.389	2.381	2.125
643837	13.04	11.54	9.08	8.606	10.72	8.48
107984850	0.18	0.05366	0.1966	0.05456	0.1331	0
284593	0.185	0.3087	0.2514	0.1962	0.3829	0.0698
284600	7.477	8.14	3.918	3.783	5.012	3.596
100130417	4.946	6.82	2.741	2.978	3.297	2.768
107985728	0.1558	0.1986	0.147	0.07344	0.05375	0.08165
148398	9.355	11.72	11.05	11.21	10.35	10.9
26155	115	140.9	112.8	127.7	119.7	124.8
339451	12.4	20.79	8.326	8.518	8.293	8.703
84069	0.2522	0.2137	0.2677	0.3844	0.3588	0.4609
84808	0.227	0.1639	0.2076	0.2037	0.2891	0.3294
57801	34.62	72.39	66.39	67.99	51.65	62.64
9636	160.4	207.4	201.2	197.4	165.5	204.5
375790	6.011	10.35	5.369	7.174	6.189	5.839
100288175	0.7128	0.9463	3.742	5.979	4.024	4.401
112267874	0.1168	0.2436	0.4363	0.5201	0.435	0.4626
105378948	0.5836	1.127	1.542	1.857	1.7	1.692
401934	0	0	0	0.03523	0.03438	0
54991	19.44	28.8	23.89	22.63	21.3	21.54
254099	0	0.1219	0.1985	0.3306	0.04033	0.2205
406984	0.6644	0	0.5642	0	0	0
406983	0	0	0.5956	0	0.7259	0
554210	0	0	0	0.8065	0	0
100506376	0.01511	0.03153	0.01284	0	0.01564	0
254173	0.01469	0.01533	0.811	1.013	0.8211	0.79
8784	0.1028	0.134	1.92	2.18	2.1	2.036
7293	5.794	7.784	11.84	13.28	9.681	10.98
51150	50.62	59.8	59.71	69.03	63.03	68.2
126792	66.27	55.82	72.45	75.37	67.31	72.62
388581	1.35	0.5533	1.147	1.125	0.9482	1.046
118424	36.54	48.09	41.52	43.79	40.56	42.37
101928895	3.702	7.171	2.245	2.965	3.675	2.922
6339	6.841	10.71	4.546	5.874	5.733	5.05
116983	20.12	34.05	17.06	18.78	17.69	17.92
102465434	5.174	1.079	1.757	2.195	1.071	1.952
109623456	9.768	23.51	3.829	9.563	8.555	9.924
126789	26.06	38.33	37.39	39.73	36.27	37.4
54973	86.29	102.2	80.48	90.14	90.52	91.68
102465435	22.33	37.48	32.99	35.02	33.17	26.56
80772	8.842	12.41	8.672	9.047	8.228	8.145
83756	1.295	1.807	0.8173	0.928	1.177	0.8584
1855	35.27	61.6	36.9	39.81	38.69	41
102466740	2.14	4.464	2.726	4.538	1.107	3.028
54587	4.184	5.344	2.834	2.724	3.791	3.136
54998	107.7	150.6	136.2	139.6	113.9	137.3
81669	37.36	43.99	32.36	33.64	33.31	31.1
148413	43.69	49.64	36.71	34.43	32.92	37.13
55052	251.1	255.5	243.7	246.9	221.7	258.4
107984868	0.04913	0.1367	0.04173	0.03474	0.0339	0.1236
441869	0.0378	0.05914	0.0642	0.06013	0.01956	0.01783
105378585	0.05542	0.0578	0.04706	0	0	0
643965	0	0	0.1089	0.2721	0	0
102724312	0.1057	0.3308	0.2245	0.05607	0.1094	0.1995
107985729	0.08629	0.09	0.1099	0.04576	0.08931	0.0407
64856	0.4496	0.6009	0.4654	0.5365	0.3927	0.2518
219293	1.699	2.351	1.901	2.322	1.927	2.049
